frame,family,source_occupied,known_exact_pixels_covered,known_exact_coverage_percent,reliable_assets_used,unresolved_source_pixels,hat,head,scarf_accessory,torso_coat,arms_hands,legs,feet,component_reference_status
0,idle_fire,391,384,98.21,f0_all_components_visible_exact_pixels,7,side_hat_f0 EXACT_TRANSLATION,side_head_f0 EXACT_TRANSLATION,frame0 seam-treated variant,frame0 exact visible variant,frame0 exact hand/equipment variants,frame0 exact single-leg asset,frame0 foot EXACT_TRANSLATION,reliable supplied indexed cut-up
1,idle_fire,490,73,14.9,f0_hat;f0_head,417,side_hat_f0 EXACT_TRANSLATION,side_head_f0 EXACT_TRANSLATION,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
2,horizontal_locomotion,442,73,16.52,f0_hat;f0_head,369,side_hat_f0 EXACT_TRANSLATION,side_head_f0 EXACT_TRANSLATION,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
3,horizontal_locomotion,537,537,100.0,f3_representative_component_set,0,side_hat_f0 EXACT_TRANSLATION,side_head_f0 EXACT_TRANSLATION,frame3 exact pose variant,frame3 exact pose variant,frame3 L_HA exact; R_HA OBSCURED,frame3 exact compound-leg pose,frame3 exact compound-feet pose,reliable supplied indexed cut-up
4,horizontal_locomotion,467,73,15.63,f0_hat;f0_head,394,side_hat_f0 EXACT_TRANSLATION,side_head_f0 EXACT_TRANSLATION,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
5,horizontal_locomotion,439,73,16.63,f0_hat;f0_head,366,side_hat_f0 EXACT_TRANSLATION,side_head_f0 EXACT_TRANSLATION,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
6,horizontal_locomotion,547,73,13.35,f0_hat;f0_head,474,side_hat_f0 EXACT_TRANSLATION,side_head_f0 EXACT_TRANSLATION,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
7,horizontal_locomotion,476,100,21.01,f0_hat;f0_head;f0_foot,376,side_hat_f0 EXACT_TRANSLATION,side_head_f0 EXACT_TRANSLATION,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,frame0 foot EXACT_TRANSLATION,source frame audit only; no isolated cut-up supplied
8,crouch,425,73,17.18,f0_hat;f0_head,352,side_hat_f0 EXACT_TRANSLATION,side_head_f0 EXACT_TRANSLATION,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
9,horizontal_jump_fall,484,484,100.0,f9_representative_component_set,0,jump_hat_f9 POSE_VARIANT,jump_head_f9 POSE_VARIANT,frame9 exact pose variant,frame9 exact pose variant,frame9 both supplied hand columns exact,frame9 exact compound-leg pose,frame9 exact compound-feet pose,reliable supplied indexed cut-up
